Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
2080.0,0.001,-0.002,1.005,-3.57,1.01,1.03
2100.0,0.003,-0.000,1.002,-3.48,1.15,0.78
2120.0,-0.003,-0.003,1.001,-3.22,1.07,0.95
2140.0,0.001,-0.000,1.001,-3.29,1.23,1.01
2160.0,-0.001,0.002,0.993,-3.36,1.18,1.06
2180.0,-0.002,-0.002,0.995,-3.35,0.62,1.22
2200.0,0.004,-0.002,0.998,-3.49,0.83,1.1
2220.0,0.000,-0.003,0.998,-3.52,1.05,1.01
2240.0,-0.003,0.001,0.996,-3.14,0.97,1.17
2260.0,-0.003,-0.002,1.008,-3.33,0.92,1.07
2280.0,-0.001,-0.003,0.993,-3.21,0.89,1.27
2300.0,0.001,-0.003,0.999,-2.95,0.86,0.87
2320.0,-0.003,0.001,1.001,-3.29,0.71,0.98
2340.0,-0.004,-0.000,1.002,-3.38,0.72,0.93
2360.0,-0.003,-0.003,0.996,-3.46,0.63,0.91
2380.0,-0.003,-0.003,0.993,-3.39,0.88,0.85
2400.0,0.001,0.003,0.999,-3.25,0.79,1.21
2420.0,-0.004,0.000,0.998,-3.54,0.78,1.19
2440.0,-0.004,0.001,1.004,-3.08,0.84,0.93
2460.0,0.002,0.000,1.003,-3.55,0.68,1.11
2480.0,-0.000,-0.001,1.006,-3.46,0.81,1.07
2500.0,-0.001,0.002,1.001,-3.23,0.83,1.1
2520.0,-0.000,0.000,1.005,-2.93,0.88,0.81
2540.0,0.003,-0.003,1.000,-3.32,0.72,1.33
2560.0,0.000,-0.002,1.001,-3.46,1.16,1.01
2580.0,0.003,-0.002,0.997,-3.28,1.21,1.13
2600.0,0.000,0.002,0.995,-3.22,1.17,1.13
2620.0,-0.001,-0.000,1.001,-3.65,0.89,1.06
2640.0,0.001,0.002,1.006,-3.06,1.23,0.96
2660.0,0.003,0.001,1.001,-3.28,0.93,1.3
2680.0,-0.001,0.002,1.002,-3.39,0.67,0.99
2700.0,0.001,-0.000,1.003,-3.56,0.77,1.06
2720.0,0.001,-0.006,0.996,-3.17,0.81,0.79
2740.0,-0.003,-0.003,1.001,-3.43,1.1,1.14
2760.0,-0.004,-0.000,0.996,-3.5,0.91,0.88
2780.0,0.004,-0.000,0.995,-3.14,0.87,0.96
2800.0,-0.003,0.000,1.006,-3.31,0.96,1.04
2820.0,-0.002,-0.000,0.999,-3.35,1.2,0.95
2840.0,-0.001,0.002,0.999,-3.43,0.73,0.87
2860.0,0.002,0.000,0.998,-3.29,0.88,1.19
2880.0,0.001,-0.001,0.999,-3.39,0.69,1.25
2900.0,0.003,0.002,1.000,-3.33,0.87,1.09
2920.0,-0.001,-0.000,1.003,-3.46,1.01,1.07
2940.0,-0.002,0.002,0.998,-3.17,1.1,0.93
2960.0,-0.002,-0.001,1.001,-3.51,1.07,0.96
2980.0,0.002,-0.001,0.999,-3.32,1.22,1.18
3000.0,0.001,0.001,0.998,-3.25,0.78,1.06
3020.0,0.001,-0.001,0.998,-3.7,1.07,0.99
3040.0,-0.005,0.001,0.999,-3.1,0.78,0.91
3060.0,-0.004,-0.005,1.003,-3.31,0.75,1.17
3080.0,0.004,-0.001,1.006,-3.38,1.01,0.83
3100.0,0.002,0.000,1.002,-3.04,0.75,0.92
3120.0,0.003,0.003,1.005,-3.37,0.73,0.98
3140.0,-0.007,0.003,1.001,-3.43,0.71,1.04
3160.0,-0.004,0.001,1.000,-3.45,0.81,0.92
3180.0,0.003,0.002,1.006,-3.3,0.72,0.88
3200.0,0.000,-0.005,1.002,-3.36,0.81,0.97
3220.0,-0.002,0.003,0.996,-3.08,0.99,0.88
3240.0,-0.002,0.002,0.997,-3.37,0.78,1.04
3260.0,-0.003,-0.005,1.002,-3.12,1.06,1.0
3280.0,-0.001,-0.001,1.003,-3.27,0.91,1.2
3300.0,-0.001,0.002,1.007,-3.01,0.94,1.07
3320.0,0.002,0.005,1.001,-3.08,1.22,1.02
3340.0,-0.003,0.002,0.993,-3.57,1.1,1.04
3360.0,-0.004,-0.000,0.996,-3.2,0.77,1.17
3380.0,-0.000,-0.007,1.001,-3.46,1.05,1.0
3400.0,-0.001,0.002,0.994,-3.55,1.14,1.15
3420.0,-0.005,-0.001,0.994,-3.39,1.14,1.17
3440.0,0.003,0.001,1.001,-3.39,0.68,1.01
3460.0,0.000,-0.008,0.999,-3.11,0.55,1.1
3480.0,0.003,0.000,1.003,-3.12,0.81,1.02
3500.0,-0.005,0.002,0.998,-3.39,0.99,1.03
3520.0,-0.001,0.004,1.001,-3.43,0.91,0.93
3540.0,0.001,0.003,0.997,-3.41,1.27,1.14
3560.0,0.007,-0.005,0.998,-3.24,1.02,1.0
3580.0,0.001,-0.003,0.996,-3.04,0.99,1.02
3600.0,-0.008,0.003,1.001,-3.36,0.85,1.11
3620.0,-0.002,0.003,1.004,-3.45,0.75,1.13
3640.0,0.000,-0.003,1.002,-3.23,0.62,1.08
3660.0,-0.001,-0.002,0.999,-3.44,0.59,0.94
3680.0,0.002,-0.000,1.007,-3.44,0.88,1.13
3700.0,0.002,0.002,1.004,-3.09,1.16,0.99
3720.0,-0.002,-0.002,1.000,-3.22,1.06,1.04
3740.0,-0.002,0.001,1.005,-3.26,0.68,1.14
3760.0,0.001,-0.000,0.993,-3.46,1.04,1.04
3780.0,-0.001,0.002,0.994,-3.47,0.98,0.9
3800.0,0.003,-0.004,1.002,-3.57,1.26,1.16
3820.0,0.003,-0.002,0.998,-3.48,0.88,1.11
3840.0,0.000,0.002,1.005,-3.15,1.0,0.95
3860.0,-0.004,0.002,1.006,-3.46,0.86,0.83
3880.0,-0.006,-0.004,0.996,-3.66,1.12,1.17
3900.0,0.001,0.000,0.997,-3.36,0.69,1.0
3920.0,-0.004,-0.002,0.998,-3.38,0.94,0.95
3940.0,0.002,-0.002,0.998,-3.2,0.82,1.11
3960.0,-0.001,-0.002,1.000,-3.08,1.01,0.98
3980.0,-0.001,0.003,0.996,-3.49,0.92,0.88
4000.0,-0.005,-0.001,1.001,-2.94,0.88,0.69
4020.0,0.002,0.002,0.997,-3.46,0.98,0.74
4040.0,-0.005,0.000,0.991,-3.2,0.89,0.98
4060.0,-0.001,0.001,0.997,-3.16,0.88,0.85
4080.0,-0.005,0.004,1.002,-3.24,0.88,0.99
4100.0,-0.002,0.003,1.000,-3.45,0.97,0.88
4120.0,-0.000,-0.005,1.002,-3.46,0.85,1.08
4140.0,-0.001,-0.001,1.000,-3.36,0.85,1.12
4160.0,-0.001,0.004,0.999,-3.33,0.8,1.08
4180.0,-0.002,0.004,1.002,-3.08,0.96,1.11
4200.0,0.000,-0.001,1.001,-3.45,1.04,1.02
4220.0,-0.001,-0.001,0.999,-3.19,0.74,1.17
4240.0,0.004,0.004,1.001,-3.61,0.82,1.04
4260.0,-0.000,0.004,1.006,-3.29,0.69,1.14
4280.0,0.001,-0.005,0.998,-3.26,0.64,0.91
4300.0,-0.001,0.002,0.999,-3.38,0.84,0.85
4320.0,0.001,0.004,1.005,-3.34,0.84,0.94
4340.0,-0.000,0.000,0.997,-3.43,1.1,0.81
4360.0,0.003,-0.001,1.006,-3.27,0.91,0.75
4380.0,-0.004,-0.005,1.000,-3.12,0.76,0.98
4400.0,-0.001,0.001,1.004,-3.51,1.01,1.02
4420.0,-0.001,-0.002,1.002,-3.31,0.99,1.12
4440.0,0.004,-0.002,1.002,-3.33,0.94,1.07
4460.0,-0.002,-0.003,1.001,-3.5,1.2,1.07
4480.0,-0.001,0.002,0.995,-3.4,0.78,1.17
4500.0,-0.001,0.002,1.000,-3.23,1.16,0.82
4520.0,-0.002,-0.001,0.998,-3.28,0.73,0.82
4540.0,-0.001,0.001,0.996,-3.18,0.93,1.11
4560.0,0.003,0.001,0.998,-3.2,1.09,0.93
4580.0,0.003,-0.001,1.000,-3.33,0.86,1.03
4600.0,-0.005,0.001,1.003,-3.26,0.85,1.17
4620.0,-0.005,-0.000,0.993,-3.3,0.9,1.27
4640.0,-0.003,-0.001,0.998,-3.47,0.56,0.93
4660.0,0.001,-0.000,1.004,-3.2,1.08,0.85
4680.0,0.003,-0.004,0.997,-3.65,0.97,0.9
4700.0,0.001,0.004,0.999,-3.52,0.97,1.11
4720.0,-0.002,-0.002,0.996,-3.36,0.98,1.33
4740.0,-0.005,-0.003,0.993,-3.27,0.88,1.16
4760.0,0.004,0.007,1.002,-3.49,1.17,1.18
4780.0,-0.006,-0.005,1.012,-3.3,0.84,0.88
4800.0,-0.001,-0.001,1.005,-3.3,1.01,1.1
4820.0,-0.004,-0.001,0.990,-3.43,0.86,0.75
4840.0,0.000,-0.006,0.994,-2.93,0.81,1.07
4860.0,-0.001,0.002,0.996,-3.17,0.82,1.19
4880.0,-0.000,-0.003,1.000,-3.33,1.04,0.98
4900.0,0.002,0.001,1.003,-3.59,1.06,1.21
4920.0,0.003,0.005,0.996,-3.2,0.91,1.04
4940.0,-0.002,-0.001,0.996,-3.43,0.81,1.04
4960.0,-0.005,0.001,1.002,-3.32,0.74,1.03
4980.0,-0.005,-0.003,1.000,-3.21,0.81,0.67
5000.0,0.001,-0.000,0.997,-3.18,0.88,1.07
5020.0,0.000,0.008,1.004,-3.62,1.06,0.95
5040.0,0.003,0.002,1.001,-3.27,0.67,1.11
